TID,Type,EngTitle,EngMainScript,EngProgressScript,EngFinishScript,EngMiniBarFinish,LocalTitle,LocalMainScript,LocalProgressScript,LocalFinishScript,LocalMiniBarFinish,Area,Grade,Level,Repeat,RepeatDay,Share,StartType,StartValue,StartCinemaTID,FinishType,FinishValue,FinishCinemaTID,TimeOut,PrevQuest,NextQuest,DemandRace,DemandLowLv,DemandMaxLv,DemandWeapon,DemandWLv,GiveItem1,GiveItemCnt1,GiveItem2,GiveItemCnt2,EventTID,MissionTID,RewardTID,DropTID
50125,1,QUT_Title_001731,QUT_Main_001731,QUT_Progress_001731,QUT_Finish_001731,QUT_Mini_001731,安提兰斯之壳,在树枝中发现了恩特之力和使其加倍的混沌之力和在这里重新出现的安提兰斯飘散之力很像.不管怎样我们都应该比较一下这两种力量. /n /n抓住<TC '163:21:21' Text'没有人性的安提兰斯' />并带来它的壳.,在树枝中发现了恩特之力和使其加倍的混沌之力和在这里重新出现的安提兰斯飘散之力很像?.不管怎样我们都应该比较一下这两种力量. /n /n抓住没有人性的安提兰斯并带来它的壳.,和我预想的一样. 安提兰斯和这种脏器有一定的关联. ,和本地侦查所的布拉尼对话,1202,0,19,0,0,1,1,51027,0,1,51027,0,0,50124,50126,2|4,19,99,0,0,0,0,0,0,0,500125,150125,500040
50126,1,QUT_Title_001732,QUT_Main_001732,QUT_Progress_001732,QUT_Finish_001732,QUT_Mini_001732,安提兰斯制作的装置,"我仔细分析了你带来的树枝.博马的奇怪的装置里面制作的树和安提兰斯是同一种东西. /n /n即,这些装置是他制作的.之前无论用什么方法都不能完全清除现在可以用这种方法!吧我了解到的情况转达给<TC '163:21:21' Text'卡户' />.","我仔细分析了你带来的树枝.博马的奇怪的装置里面制作的树和安提兰斯是同一种东西. /n /n即,这些装置是他制作的.之前无论用什么方法都不能完全清除现在可以用这种方法!吧我了解到的情况转达给卡户.",呃.真是一件严重的事.,和本地侦查所的卡户对话,1202,0,19,0,0,0,1,51027,0,1,51026,0,0,50125,50127,2|4,19,99,0,0,0,0,0,0,0,500126,150126,0
50127,1,QUT_Title_001733,QUT_Main_001733,QUT_Progress_001733,QUT_Finish_001733,QUT_Mini_001733,破坏装置,我们应该快点破坏掉那个装置.即使再多出来一只安提兰斯都会对我们造成很大的威胁.但是有你真的是太好了. /n /n不知道是博马还是其他家伙制作的装置现在已经没有时间去调查了.我们应该首先破坏这种装置.赶紧去粉碎掉<TC '163:21:21' Text'奇怪的装置' />.,我们应该快点破坏掉那个装置.即使再多出来一只安提兰斯都会对我们造成很大的威胁.但是有你真的是太好了. /n /n不知道是博马还是其他家伙制作的装置现在已经没有时间去调查了.我们应该首先破坏这种装置.赶紧去粉碎掉奇怪的装置.,嗨嗨嗨.做到了.果然! 是最好的.真的是英雄啊.,和本地侦查所的卡户对话,1202,0,19,0,0,1,1,51026,0,1,51026,0,0,50126,50128,2|4,19,99,0,0,0,0,0,0,0,500127,150127,0
50128,1,QUT_Title_001734,QUT_Main_001734,QUT_Progress_001734,QUT_Finish_001734,QUT_Mini_001734,奇怪的影子,我们看到奇怪的影子了.他给博马这些家伙提供装置. 这些家伙和<TC '163:21:21' Text'七步之贝诺恩' />在接触.不知道能不能从这些家伙中得到线索.要是你能去的话真的是太好了. ,我们看到奇怪的影子了.他给博马这些家伙提供装置. 这些家伙和七步之贝诺恩在接触.不知道能不能从这些家伙中得到线索.要是你能去的话真的是太好了. ,因为没有处理掉这些重要的文书我们只能和博马这些家伙战斗了.连最基本都做不到的家伙们.,和本地侦查所的卡户对话,1202,0,19,0,0,1,1,51026,0,1,51026,0,0,50126,50129,2|4,19,99,0,0,0,0,0,0,0,500128,150128,500041
50129,1,QUT_Title_001735,QUT_Main_001735,QUT_Progress_001735,QUT_Finish_001735,QUT_Mini_001735,失踪的黄金苹果的背后,这个有这些家伙偷走黄金苹果并转交给其他家伙的记录. /n /n打死他们!他们吧污名转嫁给我们!背后肯定有卡里阿. /n无论如何请把这个指示函亲自交给赫尔拉奥.我要向<TC '163:21:21' Text'高里亚斯' />报告就拜托你去给赫尔拉奥报告吧.,这个有这些家伙偷走黄金苹果并转交给其他家伙的记录. /n /n打死他们!他们吧污名转嫁给我们!背后肯定有卡里阿. /n无论如何请把这个指示函亲自交给赫尔拉奥.我要向高里亚斯报告就拜托你去给赫尔拉奥报告吧.,"你就是传闻中的英雄吗?我一直以为是别人传播的谣言,原来不是这样啊.让我看到了你的能力.好. 我会调查这些叫做卡里阿的家伙.",斑蒂露娜处的赫尔拉奥对话,1201,0,19,0,0,0,1,51026,0,1,50032,0,0,50128,0,2|4,19,99,0,0,12300,1,0,0,0,500129,150129,0
50130,1,QUT_Title_001736,QUT_Main_001736,QUT_Progress_001736,QUT_Finish_001736,QUT_Mini_001736,血色指令函 ,有大量制作曾经帮助恩特的怪物攻击戴姆里伸的记录.向蒂露娜处的 <TC '163:21:21' Text'赫尔拉奥' />报告. ,有大量制作曾经帮助恩特的怪物攻击戴姆里伸的记录.向蒂露娜处的赫尔拉奥报告. ,叫做卡里阿的家伙.这些名字又出现了吗. 现在戴姆里伸这里发生的所有的事都和这些家伙有关吗?无论如何都应该加强调查了.,斑蒂露娜处的赫尔拉奥对话,1201,0,19,0,0,0,2,25079,0,1,50032,0,0,0,0,2|4,19,99,0,0,0,0,0,0,0,500130,150130,0
50131,1,QUT_Title_001737,QUT_Main_001737,QUT_Progress_001737,QUT_Finish_001737,QUT_Mini_001737,寻找胡安,我的朋友<TC '163:21:21' Text'胡安' />为了侦查去了博马阵营深处到现在还没有任何消息.我担心他是不是发生了什么事.我希望你能帮我找找他.,我的朋友胡安为了侦查去了博马阵营深处到现在还没有任何消息.我担心他是不是发生了什么事.我希望你能帮我找找他.,"唔,援军终于来了.",和神圣本地的胡安对话,1202,0,19,0,0,0,1,51026,0,1,51028,0,0,0,50132,2|4,19,99,0,0,0,0,0,0,0,500131,150131,0
50132,1,QUT_Title_001738,QUT_Main_001738,QUT_Progress_001738,QUT_Finish_001738,QUT_Mini_001738,胡安的物品,"什么? 你一个人回来了?回来的人数不应该和出去时一样吗? /n /n什么,总比一个都没回来好.首先请找回我的 <TC '163:21:21' Text'武器和铠甲' />.被那些家伙抢走了. /n这些家伙有把得到的物品收起来的习惯所以去箱子之类的地方找就行.不是我在逃跑时丢掉的请你不要误会. ","什么? 你一个人回来了?回来的人数不应该和出去时一样吗? /n /n什么,总比一个都没回来好.首先请找回我的武器和铠甲.被那些家伙抢走了. /n这些家伙有把得到的物品收起来的习惯所以去箱子之类的地方找就行.不是我在逃跑时丢掉的请你不要误会. ","为什么会这么破旧呢? 找回的是我的武器吗? …… 呃,这里有我的名字呀.真是太不好意思了.",和神圣本地的胡安对话,1202,0,19,0,0,1,1,51028,0,1,51028,0,0,50131,50133,2|4,19,99,0,0,0,0,0,0,0,500132|501132,150132,0
50133,1,QUT_Title_001739,QUT_Main_001739,QUT_Progress_001739,QUT_Finish_001739,QUT_Mini_001739,护卫胡安,"现在就剩逃出去了.只有我一个人做不到你来帮帮我吧. /n /n你的名声那么好所以不会很坚决的拒绝我吧?只要和我一起到安全的地方就行.这是很简单的事啊. /n这件事结束之后去<TC '163:21:21' Text'卡户' />那里可以领到很大的报酬所以不要担心. 好了,我们赶紧走吧!","现在就剩逃出去了.只有我一个人做不到你来帮帮我吧. /n /n你的名声那么好所以不会很坚决的拒绝我吧?只要和我一起到安全的地方就行.这是很简单的事啊. /n这件事结束之后去卡户那里可以领到很大的报酬所以不要担心.好了,我们赶紧走吧!",真是辛苦你了. 胡安这家伙什么时候才能打起精神啊.哎呦.,和本地侦查所的卡户对话,1202,0,19,0,0,1,1,51028,0,1,51026,0,0,50132,50134,2|4,19,99,0,0,0,0,0,0,0,500133,150133,0
50134,1,QUT_Title_001740,QUT_Main_001740,QUT_Progress_001740,QUT_Finish_001740,QUT_Mini_001740,破坏毒箭筒,现在博马这些家伙制作毒箭正在准备大规模的攻击.要是能破环这些毒箭的话他们的进攻是不是就成了一场空呢 ? 异常勇猛的你去做这件事就行了.赶紧去破坏掉这些家伙的 <TC '163:21:21' Text'箭筒' />.,现在博马这些家伙制作毒箭正在准备大规模的攻击.要是能破环这些毒箭的话他们的进攻是不是就成了一场空呢 ? 异常勇猛的你去做这件事就行了.赶紧去破坏掉这些家伙的 <TC '163:21:21' Text'箭筒' />.,我们成功破坏了他们的计划.都是托你的福啊.,和本地侦查所的卡户对话,1202,0,19,0,0,1,1,51026,0,1,51026,0,0,0,0,2|4,19,99,0,0,0,0,0,0,0,500134,150134,0
50135,1,QUT_Title_001741,QUT_Main_001741,QUT_Progress_001741,QUT_Finish_001741,QUT_Mini_001741,博马的血,博马的力气真的很了不起.能很轻易的举起很大的石头.这种力量给士兵带来了很大的困难.要是能找到这种力量源泉的话会对我们有很大的帮助.要是做的好的话还能对艾因哈伊造成打击. /n /n请带来<TC '163:21:21' Text'剧毒博马之血' />. ,博马的力气真的很了不起.能很轻易的举起很大的石头.这种力量给士兵带来了很大的困难.要是能找到这种力量源泉的话会对我们有很大的帮助.要是做的好的话还能对艾因哈伊造成打击. /n /n请带来<TC '163:21:21' Text'剧毒博马之血' />. ,颜色有点奇怪.和平常的血不同.含有对一般生命体来说的有毒成分.博马好像是谁都能制作的生命体.我会继续研究的.,和本地侦查所的布拉尼对话,1202,0,19,0,0,1,1,51027,0,1,51027,0,0,0,50136,2|4,19,99,0,0,0,0,0,0,0,500135,150135|450095|450096,500042
50136,1,QUT_Title_001742,QUT_Main_001742,QUT_Progress_001742,QUT_Finish_001742,QUT_Mini_001742,博马的表皮,博马像蛇一样会蜕皮.蜕的皮对伤口有治疗作用所以他把皮保管在袋子里.要是能找到这个作为药材就真的太好了. /n /n请带来<TC '163:21:21' Text'博马的表皮' />.,博马像蛇一样会蜕皮.蜕的皮对伤口有治疗作用所以他把皮保管在袋子里.要是能找到这个作为药材就真的太好了. /n /n请带来博马的表皮.,呃.这个东西真的很香. 可以当作好的药材.,和本地侦查所的布拉尼对话,1202,0,19,0,0,1,1,51027,0,1,51027,0,0,0,50137,2|4,19,99,0,0,0,0,0,0,0,500136,150136,0
50137,1,QUT_Title_001743,QUT_Main_001743,QUT_Progress_001743,QUT_Finish_001743,QUT_Mini_001743,博马的武器,博马的武器的样子真的很独特.具有奇怪的力量即使是划一下也会带来很大的伤口.分明是具有很强大的力量.要是能知道是什么东西就能破环艾因哈伊之间的均衡使我们处于优势. /n /n从<TC '163:21:21' Text'神经毒博马' />那里找来<TC '163:21:21' Text'武器碎片' />.,博马的武器的样子真的很独特.具有奇怪的力量即使是划一下也会带来很大的伤口.分明是具有很强大的力量.要是能知道是什么东西就能破环艾因哈伊之间的均衡使我们处于优势. /n /n从神经毒博马那里找来武器碎片.,能感觉到空虚并纠缠在一起的混沌之力.分明是灌入了谁的强大之力.我们应该查一下了 .,和本地侦查所的布拉尼对话,1202,0,19,0,0,1,1,51027,0,1,51027,0,0,0,0,2|4,19,99,0,0,0,0,0,0,0,500137,150137|450273|450274|450275|450276|450419,500043
50138,1,QUT_Title_001744,QUT_Main_001744,QUT_Progress_001744,QUT_Finish_001744,QUT_Mini_001744,申请拉希德的帮助,正在监视博马地域的<TC '163:21:21' Text'拉希德' />感觉到异常联系了我们.到底是发现了什么呢?那边的事情就有你这个大英雄去吧.这边的是由我负责所以请放心.,正在监视博马地域的拉希德感觉到异常联系了我们.到底是发现了什么呢?那边的事情就有你这个大英雄去吧.这边的是由我负责所以请放心.,欢迎你.你就是传闻中 的那位吗.见到你很高兴.,和本地侦查所的拉希德对话,1202,0,17,0,0,0,1,51024,0,1,51029,0,0,50118,0,2|4,17,99,0,0,0,0,0,0,0,500138,150138,0
50139,1,QUT_Title_001745,QUT_Main_001745,QUT_Progress_001745,QUT_Finish_001745,QUT_Mini_001745,推翻博马,现在博马的行动并不寻常.在迅速准备什么的同时组织队伍.估计是为了袭击我们才进攻斑蒂露娜. /n /n我们要派遣善于攻击的人去推翻他们. /n请你对 <TC '163:21:21' Text'红色条纹博马' />发起攻击.我将会对另一边发起攻击.,现在博马的行动并不寻常.在迅速准备什么的同时组织队伍.估计是为了袭击我们才进攻斑蒂露娜. /n /n我们要派遣善于攻击的人去推翻他们. /n请你对红色条纹博马发起攻击.我将会对另一边发起攻击.,这么快就结束了真是太伟大了!,和本地侦查所的拉希德对话,1202,0,17,0,0,1,1,51029,0,1,51029,0,0,0,50140,2|4,17,99,0,0,0,0,0,0,0,500139,150139,0
50140,1,QUT_Title_001746,QUT_Main_001746,QUT_Progress_001746,QUT_Finish_001746,QUT_Mini_001746,发傻草,博马的生命力很强不能轻易削弱他们的气势.要采取其他方法./n /n要伦找到了利用发傻草使博马丧失能力. /n找到<TC '163:21:21' Text'发傻草' />并带回来.,博马的生命力很强不能轻易削弱他们的气势.要采取其他方法./n /n要伦找到了利用发傻草使博马丧失能力. /n找到<TC '163:21:21' Text'发傻草' />并带回来.,"啊, 就是这个呀.好了.有这个就行了.",和本地侦查所的拉希德对话,1202,0,17,0,0,1,1,51029,0,1,51030,0,0,0,50141,2|4,17,99,0,0,0,0,0,0,0,500140,150140,0
50141,1,QUT_Title_001747,QUT_Main_001747,QUT_Progress_001747,QUT_Finish_001747,QUT_Mini_001747,使博马丧失能力的药,这个可以使这些家伙丧失力量.就算是轻轻碰一下就能使他们变得像婴儿一样弱 ?请相信我说的话.对你来说开启了新的世界. /n /n请这个要转交给<TC '163:21:21' Text'拉希德' />.,这个可以使这些家伙丧失力量.就算是轻轻碰一下就能使他们变得像婴儿一样弱 ?请相信我说的话.对你来说开启了新的世界. /n /n请这个要转交给拉希德.,呵. 虽然还有疑心但是也应该试一下.,和本地侦查所的拉希德对话,1202,0,17,0,0,0,1,51030,0,1,51029,0,0,50140,50142,2|4,17,99,0,0,25087,1,0,0,0,500141,150141,0
50142,1,QUT_Title_001748,QUT_Main_001748,QUT_Progress_001748,QUT_Finish_001748,QUT_Mini_001748,黑色舌头的蛮博,"现在只剩下处理掉这些家伙对队长<TC '163:21:21' Text'黑色舌头的蛮博' />这件事了.只要干掉队长这边阵营就垮台了 不能和南边的博马联系. /n /n啊 ,我们的英雄.请赐予我们神光.","现在只剩下处理掉这些家伙对队长黑色舌头的蛮博这件事了.只要干掉队长这边阵营就垮台了 不能和南边的博马联系. /n /n啊 ,我们的英雄.请赐予我们神光.",我们这边的博马现在被处理到什么程度了.现在担心南边的博马.,和本地侦查所的拉希德对话,1202,0,17,0,0,1,1,51029,0,1,51029,0,0,50141,0,2|4,17,99,0,0,0,0,0,0,0,500142,150142|450265|450266|450267|450268|450417,0
50143,1,QUT_Title_001749,QUT_Main_001749,QUT_Progress_001749,QUT_Finish_001749,QUT_Mini_001749,博马之毒,"<TC '163:21:21' Text'发光的条纹博马之毒' />可以用到暗杀之中. 啊, 不仅没有味道并且效果是最好的. /n /n但是斑蒂露娜的卢因海本长老用它制作成了混合体.非常强所以没有可以解毒的药.有谁想悄悄的解决这件事吗? /n /n哎不会这样….../n /n不管怎样请找来毒.","发光的条纹博马之毒可以用到暗杀之中. 啊, 不仅没有味道并且效果是最好的. /n /n但是斑蒂露娜的卢因海本长老用它制作成了混合体.非常强所以没有可以解毒的药.有谁想悄悄的解决这件事吗? /n /n哎不会这样….../n /n不管怎样请找来毒.",色彩是不是很好啊? 即使沾一点也很可怕所以请小心一点.,和本地侦查所的尤特恩对话,1202,0,17,0,0,1,1,51030,0,1,51030,0,0,0,50144,2|4,17,99,0,0,0,0,0,0,0,500143,150143,500044
50144,1,QUT_Title_001750,QUT_Main_001750,QUT_Progress_001750,QUT_Finish_001750,QUT_Mini_001750,解毒水晶,如果博马的毒提取错误的话就会出大事.即使是喝一点或者沾一点就会死掉.我们应该使用特殊的方法! /n /n我看看需要什么东西. 有点模糊.呃…../n /n对.需要 <TC '163:21:21' Text'解毒水晶' />.找到它.知道了吗?,如果博马的毒提取错误的话就会出大事.即使是喝一点或者沾一点就会死掉.我们应该使用特殊的方法! /n /n我看看需要什么东西. 有点模糊.呃…../n /n对.需要解毒水晶.找到它.知道了吗?,这个颜色是不是很好看?这个的光越强效果越好.虽然做错的但是毒性一下就没有了.即使是这样和我想的也不一样.,和本地侦查所的尤特恩对话,1202,0,17,0,0,1,1,51030,0,1,51030,0,0,0,50145,2|4,17,99,0,0,0,0,0,0,0,500144,150144,0
50145,1,QUT_Title_001751,QUT_Main_001751,QUT_Progress_001751,QUT_Finish_001751,QUT_Mini_001751,犹豫不决,需要像博马毒一样危险的东西但是我有点犹豫. /n /n和我想象的不一样所以还没有成果. /n /n还不赶紧把它从我眼前拿走? 请带给斑蒂露娜那里的 <TC '163:21:21' Text'卢因海本' />长老. ,需要像博马毒一样危险的东西但是我有点犹豫. /n /n和我想象的不一样所以还没有成果. /n /n还不赶紧把它从我眼前拿走? 请带给斑蒂露娜那里的卢因海本长老. ,呃.说是要亲自做的现在又转给别人…….,斑蒂露娜那里的卢因海本对话,1201,0,19,0,0,0,1,51030,0,1,51032,0,0,50144,50146,2|4,19,99,0,0,25090,1,12300,1,0,500145,150145,0
50146,1,QUT_Title_001752,QUT_Main_001752,QUT_Progress_001752,QUT_Finish_001752,QUT_Mini_001752,蛇尾,好像有什么搞错了.这不是我所说的需要的东西.我说的是作为礼物给<TC '163:21:21' Text'赫尔拉奥' />的药. /n /n我应该做这个吗?你这小子赶紧去做.,好像有什么搞错了.这不是我所说的需要的东西.我说的是作为礼物给赫尔拉奥的药. /n /n我应该做这个吗?你这小子赶紧去做.,这是卢因海本说的药吗? 呵.虽然很可惜这个叫做解毒水晶的容器里并没有毒.想用那边的纸片作为紧急用的蛋很可惜变成现在这样了.关于蛇尾的事以后再做吧.不是我去做是让你去做. 辛苦了.,斑蒂露娜那里的卢因海本对话,1201,0,19,0,0,0,1,51032,0,1,50032,0,0,50145,0,2|4,19,99,0,0,25090,1,0,0,0,500146,150146,0
50147,1,QUT_Title_001753,QUT_Main_001753,QUT_Progress_001753,QUT_Finish_001753,QUT_Mini_001753,没有消息的儿子,"请帮帮我!我儿子失踪了! 在湖中收到什么东西之后送到这边来的,现在失去联系了.我很着急所以来这里到处寻找但是只听说我儿子一直往南方走了. /n /n英雄,请你帮我找一下儿子吧.即使只能找到他的痕迹也好.","请帮帮我!我儿子失踪了! 在湖中收到什么东西之后送到这边来的,现在失去联系了.我很着急所以来这里到处寻找但是只听说我儿子一直往南方走了. /n /n英雄,请你帮我找一下儿子吧.即使只能找到他的痕迹也好.",……,请搜查伍曼娜村庄,1202,0,18,0,0,0,1,51031,0,1,51076,0,0,0,50148,2|4,18,99,0,0,0,0,0,0,0,500147,150147,0
50148,1,QUT_Title_001754,QUT_Main_001754,QUT_Progress_001754,QUT_Finish_001754,QUT_Mini_001754,没有消息的儿子,背上有被刺的伤痕.没有反抗的痕迹.,背上有被刺的伤痕.没有反抗的痕迹.,什么? /n /n?…...这是真的吗?你在骗我对不对? ……/n /n呵呵…… /n /n出大事了只是出去一下就变成这样了….. 哪有比你生命还重要的东西啊.嗯?,和本地侦察所的伍曼娜对话,1202,0,18,0,0,0,1,51076,0,1,51031,0,0,50147,50149,2|4,18,99,0,0,0,0,0,0,0,500148,150148|450269|450270|450271|450272|450418,0
50149,1,QUT_Title_001755,QUT_Main_001755,QUT_Progress_001755,QUT_Finish_001755,QUT_Mini_001755,儿子所做的事,呵呵….../n /n说我儿子的背上有被刺的痕迹吗? 从没有反抗的很近来看这肯定是有预谋的. 儿子和 <TC '163:21:21' Text'卢因海本' />有过对话.或许他知道这件事.你去问问他. ,呵呵….../n /n说我儿子的背上有被刺的痕迹吗? 从没有反抗的很近来看这肯定是有预谋的. 儿子和卢因海本有过对话.或许他知道这件事.你去问问他. ,什么?说我知道这件事吗?我知道比这更重大的事情.我没有时间为一事无成的家伙担心. 或许我部下的副官知道这件事处理掉了请稍等一会. 行吧? 不要妨碍我赶紧走吧.,斑蒂露娜那里的卢因海本对话,1201,0,19,0,0,0,1,51031,0,1,51032,0,0,50148,0,2|4,19,99,0,0,12300,1,0,0,0,500149,150149,0
50150,1,QUT_Title_001756,QUT_Main_001756,QUT_Progress_001756,QUT_Finish_001756,QUT_Mini_001756,受伤时该吃的食物,丈夫在和艾因哈伊的战争中受伤了.想用丈夫做喜欢的 <TC '163:21:21' Text'红色果实' /> 做饭才来到这里的但是却全部被博马带走了. 好像这也是他们的粮食. /n /n听说他们把这些东西保管在木桶中. /n我没有足够的能力去拿到红色果实英雄你能帮帮我吗?,丈夫在和艾因哈伊的战争中受伤了.想用丈夫做喜欢的红色果实做饭才来到这里的但是却全部被博马带走了. 好像这也是他们的粮食. /n /n听说他们把这些东西保管在木桶中. /n我没有足够的能力去拿到红色果实英雄你能帮帮我吗?,谢谢你.现在可以为丈夫做好吃的了.,和本地侦察所的阿泰莱对话,1202,0,17,0,0,1,1,51033,0,1,51033,0,0,0,50151,2|4,17,99,0,0,0,0,0,0,0,500150,150150,0
50151,1,QUT_Title_001757,QUT_Main_001757,QUT_Progress_001757,QUT_Finish_001757,QUT_Mini_001757,报答丈夫的朋友,这里有丈夫的朋友 <TC '163:21:21' Text'卡户' />.丈夫曾经受到他很多帮助.想做一点事报答他. /n /n请将这种健康食品转交给他.我要照顾丈夫就先回去了. 拜托了.,这里有丈夫的朋友卡户.丈夫曾经受到他很多帮助.想做一点事报答他. /n /n请将这种健康食品转交给他.我要照顾丈夫就先回去了. 拜托了.,刚好肚子饿了真是太好了.是我熟悉的朋友妻子的手艺.我会好好吃的.,和本地侦查所的卡户对话,1202,0,18,0,0,0,1,51033,0,1,51026,0,0,50150,0,2|4,18,99,0,0,25092,1,0,0,0,500151,150151,0
50152,1,QUT_Title_001758,QUT_Main_001758,QUT_Progress_001758,QUT_Finish_001758,QUT_Mini_001758,转达研究结果,"努弗兹最近交给我很多事.我的研究还有很多没有完成,应该尽快处理这些事还有点困难. /n /n因为艾因哈伊的不稳定的行动我还要做其他的事情. /n请转达<TC '163:21:21' Text'努弗兹' />他交代的事情会晚一点解决.","努弗兹最近交给我很多事.我的研究还有很多没有完成,应该尽快处理这些事还有点困难. /n /n因为艾因哈伊的不稳定的行动我还要做其他的事情. /n请转达努弗兹他交代的事情会晚一点解决.",因为艾因哈伊很多人受到了伤害.知道了.我们要先等待.,和藤蔓研究所的努弗兹对话,1202,0,99,0,0,0,1,51009,0,1,51010,0,0,0,0,2|4,99,99,0,0,0,0,0,0,0,500152,150152,0
50153,1,QUT_Title_001759,QUT_Main_001759,QUT_Progress_001759,QUT_Finish_001759,QUT_Mini_001759,奇怪的村庄防御,我们村子的防御很奇怪!每个地方都被分开但是也有混在一起的地方. /n /n竟然会出现乞讨的事情. /n应该追问建筑师<TC '163:21:21' Text'乌布尔里' />.要是我去的话可能会打架.要是这样的话说不定会有人死掉. /n /n所以请你代替我去向他转达这件事.,我们村子的防御很奇怪!每个地方都被分开但是也有混在一起的地方. /n /n竟然会出现乞讨的事情. /n应该追问建筑师乌布尔里.要是我去的话可能会打架.要是这样的话说不定会有人死掉. /n /n所以请你代替我去向他转达这件事.,即使不是这样我也正在调查村庄防御的事情.,和树之村庄的乌布尔里对话,1202,0,99,0,0,0,1,51006,0,1,51004,0,0,0,0,2|4,99,99,0,0,0,0,0,0,0,500153,150153,0
50154,1,QUT_Title_001760,QUT_Main_001760,QUT_Progress_001760,QUT_Finish_001760,QUT_Mini_001760,[普通]收集花朵,哥布林饲养场里正在培养特利皮特和布里德米尔.这里隐藏着这些家伙成长的秘密.一定要弄清除这件事. /n /n说不定可以从<TC '163:21:21' Text'流血花和三叶花' />中了解到什么. 拜托了.好吗?,哥布林饲养场里正在培养特利皮特和布里德米尔.这里隐藏着这些家伙成长的秘密.一定要弄清除这件事. /n /n说不定可以从流血花和三叶花中了解到什么. 拜托了.好吗?,哇.果然是很帅的人.真是太伟大了!,和藤蔓研究所的爱克林特对话,1202,1,10,0,0,1,1,51011,0,1,51011,0,0,0,0,2|4,10,99,0,0,0,0,0,0,0,500154|501154,150154|450110,0
50155,1,QUT_Title_001761,QUT_Main_001761,QUT_Progress_001761,QUT_Finish_001761,QUT_Mini_001761,[困难]危险的饲养场,因为哥布林这些家伙饲养特利皮特和布里德米尔我们现在陷入了困境之中.要是这样放着不管的话等这些家伙长大就会很难处理. /n /n去<TC '163:21:21' Text'布里德米尔饲养场' />处理掉<TC '163:21:21' Text'毒刺特利皮特和血风之花' />.,因为哥布林这些家伙饲养特利皮特和布里德米尔我们现在陷入了困境之中.要是这样放着不管的话等这些家伙长大就会很难处理. /n /n去<TC '163:21:21' Text'布里德米尔饲养场' />处理掉<TC '163:21:21' Text'毒刺特利皮特和血风之花' />.,"果然, 这才是戴姆里伸的神圣担当者!",和藤蔓研究所的努弗兹对话,1202,2,10,0,0,1,1,51010,0,1,51010,0,0,0,0,2|4,10,99,0,0,0,0,0,0,0,500155|501155,150155|450111,0
50156,1,QUT_Title_001762,QUT_Main_001762,QUT_Progress_001762,QUT_Finish_001762,QUT_Mini_001762,[最困难]处理掉帕帕勒,布里德米尔饲养场里的 <TC '163:21:21' Text'祭祀长帕帕勒' />一丝不乱的指挥着哥布林.要是除掉这个家伙的话饲养特利皮特和布里德米尔将会变成一件难事.请除掉这个家伙.,布里德米尔饲养场里的祭祀长帕帕勒一丝不乱的指挥着哥布林.要是除掉这个家伙的话饲养特利皮特和布里德米尔将会变成一件难事.请除掉这个家伙.,看着很讨厌的特利皮特和布里德米尔死掉了.多谢.,和藤蔓研究所的努弗兹对话,1202,4,99,0,0,1,1,51010,0,1,51010,0,0,0,0,2|4,99,99,0,0,0,0,0,0,0,500156,150156|450112,0
50157,1,QUT_Title_001763,QUT_Main_001763,QUT_Progress_001763,QUT_Finish_001763,QUT_Mini_001763,[普通 恩特之刺杆,恩蒂温圣所里生长的恩特之刺杆使土地变得肥沃.这个东西是带有什么样的力量才能这样呢?好想知道. /n /去n<TC '163:21:21' Text'恩蒂温圣所' />带回 <TC '163:21:21' Text'恩特之刺杆' />.,恩蒂温圣所里生长的恩特之刺杆使土地变得肥沃.这个东西是带有什么样的力量才能这样呢?好想知道. /n /去恩蒂温圣所带回恩特之刺杆.,心情是不是很激动?应该尽快进行研究.,和本地侦查所的布拉尼对话,1202,1,20,0,0,1,1,51027,0,1,51027,0,0,0,0,2|4,20,99,0,0,0,0,0,0,0,500157,150157|450110,0
50158,1,QUT_Title_001764,QUT_Main_001764,QUT_Progress_001764,QUT_Finish_001764,QUT_Mini_001764,[困难] 痛苦和毒,"恩蒂温圣所内部的宪兵队长粳粟和博马队长暴伊巴正在谋划什么事. /n /n 处理到现在为止宪兵和博马的事情就已经很费力了,要是发生更大的事的话我们就无法处理了. /n请再帮我们一次吧. 去<TC '163:21:21' Text'恩蒂温圣所' />除掉<TC '163:21:21' Text'粳粟和暴伊巴' />.","恩蒂温圣所内部的宪兵队长粳粟和博马队长暴伊巴正在谋划什么事. /n /n 处理到现在为止宪兵和博马的事情就已经很费力了,要是发生更大的事的话我们就无法处理了. /n请再帮我们一次吧. 去恩蒂温圣所除掉粳粟和暴伊巴' />.",真是太伟大了.只有你才能做到啊.,和本地侦查所的拉希德对话,1202,2,20,0,0,1,1,51029,0,1,51029,0,0,0,0,2|4,20,99,0,0,0,0,0,0,0,500158|501158,150158|450111,0
